step 0: dis loss 0.648634, dis acc 0.000000, gan loss 1.007177, gan acc 0.000000
step 1: dis loss 1.182547, dis acc 0.000000, gan loss 1.000037, gan acc 0.000000
step 2: dis loss 0.461912, dis acc 0.000000, gan loss 0.923755, gan acc 0.000000
step 3: dis loss 0.376586, dis acc 0.000000, gan loss 0.837946, gan acc 0.000000
step 4: dis loss 0.354474, dis acc 0.000000, gan loss 0.719678, gan acc 0.000000
step 5: dis loss 0.341990, dis acc 0.000000, gan loss 0.702583, gan acc 0.000000
step 6: dis loss 0.359031, dis acc 0.000000, gan loss 0.678833, gan acc 0.000000
step 7: dis loss 0.353894, dis acc 0.000000, gan loss 0.678059, gan acc 0.000000
step 8: dis loss 0.372829, dis acc 0.000000, gan loss 0.697440, gan acc 0.000000
step 9: dis loss 0.351612, dis acc 0.000000, gan loss 0.664575, gan acc 0.000000
step 10: dis loss 0.365727, dis acc 0.000000, gan loss 0.625225, gan acc 0.000000
step 11: dis loss 0.329170, dis acc 0.000000, gan loss 0.666429, gan acc 0.000000
step 12: dis loss 0.361071, dis acc 0.000000, gan loss 0.601670, gan acc 0.000000
step 13: dis loss 0.331009, dis acc 0.000000, gan loss 0.620320, gan acc 0.000000
step 14: dis loss 0.329938, dis acc 0.000000, gan loss 0.658284, gan acc 0.000000
step 15: dis loss 0.342945, dis acc 0.000000, gan loss 0.561462, gan acc 0.000000
step 16: dis loss 0.349548, dis acc 0.000000, gan loss 0.611260, gan acc 0.000000
step 17: dis loss 0.346341, dis acc 0.000000, gan loss 0.628448, gan acc 0.000000
step 18: dis loss 0.347855, dis acc 0.000000, gan loss 0.603274, gan acc 0.000000
step 19: dis loss 0.327411, dis acc 0.000000, gan loss 0.623977, gan acc 0.000000
step 20: dis loss 0.327874, dis acc 0.000000, gan loss 0.499464, gan acc 0.000000
step 21: dis loss 0.362066, dis acc 0.000000, gan loss 0.504976, gan acc 0.000000
step 22: dis loss 0.339733, dis acc 0.000000, gan loss 0.509667, gan acc 0.000000
step 23: dis loss 0.358912, dis acc 0.000000, gan loss 0.547198, gan acc 0.000000
step 24: dis loss 0.361763, dis acc 0.000000, gan loss 0.472089, gan acc 0.000000
step 25: dis loss 0.320927, dis acc 0.000000, gan loss 0.611131, gan acc 0.000000
step 26: dis loss 0.346070, dis acc 0.000000, gan loss 0.450914, gan acc 0.000000
step 27: dis loss 0.347022, dis acc 0.000000, gan loss 0.528967, gan acc 0.000000
step 28: dis loss 0.348077, dis acc 0.000000, gan loss 0.469516, gan acc 0.000000
step 29: dis loss 0.328042, dis acc 0.000000, gan loss 0.507825, gan acc 0.000000
